"long","lat","group","order","region","subregion"
-90.9112091064453,39.8377532958984,565,21959,"illinois","BROWN"
-90.9112091064453,40.1070442199707,565,21960,"illinois","BROWN"
-90.7221374511719,40.1070442199707,565,21961,"illinois","BROWN"
-90.69921875,40.0898551940918,565,21962,"illinois","BROWN"
-90.6820297241211,40.0497512817383,565,21963,"illinois","BROWN"
-90.6533889770508,40.0382919311523,565,21964,"illinois","BROWN"
-90.61328125,40.0153732299805,565,21965,"illinois","BROWN"
-90.607551574707,39.9752655029297,565,21966,"illinois","BROWN"
-90.5846252441406,39.9752655029297,565,21967,"illinois","BROWN"
-90.510139465332,39.9867248535156,565,21968,"illinois","BROWN"
-90.5273361206055,39.9638061523438,565,21969,"illinois","BROWN"
-90.5445175170898,39.9294281005859,565,21970,"illinois","BROWN"
-90.5846252441406,39.8835906982422,565,21971,"illinois","BROWN"
-90.5846252441406,39.8664054870605,565,21972,"illinois","BROWN"
-90.5846252441406,39.8320274353027,565,21973,"illinois","BROWN"
-90.9112091064453,39.8377532958984,565,21974,"illinois","BROWN"
-89.6335144042969,41.591007232666,566,21976,"illinois","BUREAU"
-89.1636962890625,41.591007232666,566,21977,"illinois","BUREAU"
-89.1694259643555,41.3102569580078,566,21978,"illinois","BUREAU"
-89.2152633666992,41.3159866333008,566,21979,"illinois","BUREAU"
-89.2668228149414,41.3159866333008,566,21980,"illinois","BUREAU"
-89.3012008666992,41.3102569580078,566,21981,"illinois","BUREAU"
-89.335578918457,41.3045272827148,566,21982,"illinois","BUREAU"
-89.34130859375,41.2529640197754,566,21983,"illinois","BUREAU"
-89.3642272949219,41.2415008544922,566,21984,"illinois","BUREAU"
-89.4559020996094,41.2415008544922,566,21985,"illinois","BUREAU"
-89.4673538208008,41.144100189209,566,21986,"illinois","BUREAU"
-89.6392440795898,41.144100189209,566,21987,"illinois","BUREAU"
-89.6392440795898,41.2415008544922,566,21988,"illinois","BUREAU"
-89.8340530395508,41.2415008544922,566,21989,"illinois","BUREAU"
-89.8340530395508,41.4821434020996,566,21990,"illinois","BUREAU"
-89.8512420654297,41.4821434020996,566,21991,"illinois","BUREAU"
-89.8512420654297,41.591007232666,566,21992,"illinois","BUREAU"
-89.6335144042969,41.591007232666,566,21993,"illinois","BUREAU"
-90.9341354370117,39.4023056030273,567,21995,"illinois","CALHOUN"
-90.6361923217773,39.3965797424316,567,21996,"illinois","CALHOUN"
-90.6361923217773,39.3621978759766,567,21997,"illinois","CALHOUN"
-90.6304626464844,39.322093963623,567,21998,"illinois","CALHOUN"
-90.6247329711914,39.2762565612793,567,21999,"illinois","CALHOUN"
-90.607551574707,39.2304191589355,567,22000,"illinois","CALHOUN"
-90.607551574707,39.2075004577637,567,22001,"illinois","CALHOUN"
-90.61328125,39.1731262207031,567,22002,"illinois","CALHOUN"
-90.607551574707,39.1158256530762,567,22003,"illinois","CALHOUN"
-90.6018142700195,39.0814514160156,567,22004,"illinois","CALHOUN"
-90.5788955688477,39.0356140136719,567,22005,"illinois","CALHOUN"
-90.5788955688477,38.9897766113281,567,22006,"illinois","CALHOUN"
-90.5617141723633,38.9611320495605,567,22007,"illinois","CALHOUN"
-90.5216064453125,38.9496688842773,567,22008,"illinois","CALHOUN"
-90.4929504394531,38.9668617248535,567,22009,"illinois","CALHOUN"
-90.4528427124023,38.9611320495605,567,22010,"illinois","CALHOUN"
-90.4929504394531,38.9267539978027,567,22011,"illinois","CALHOUN"
-90.5445175170898,38.8866424560547,567,22012,"illinois","CALHOUN"
-90.5674438476562,38.869457244873,567,22013,"illinois","CALHOUN"
-90.6018142700195,38.8579978942871,567,22014,"illinois","CALHOUN"
-90.6361923217773,38.880916595459,567,22015,"illinois","CALHOUN"
-90.6705703735352,38.9152946472168,567,22016,"illinois","CALHOUN"
-90.6763000488281,38.9382133483887,567,22017,"illinois","CALHOUN"
-90.69921875,38.9955062866211,567,22018,"illinois","CALHOUN"
-90.7164077758789,39.0528030395508,567,22019,"illinois","CALHOUN"
-90.69921875,39.1100997924805,567,22020,"illinois","CALHOUN"
-90.7221374511719,39.1444778442383,567,22021,"illinois","CALHOUN"
-90.7278671264648,39.1788520812988,567,22022,"illinois","CALHOUN"
-90.7221374511719,39.2189598083496,567,22023,"illinois","CALHOUN"
-90.7450561523438,39.2361526489258,567,22024,"illinois","CALHOUN"
-90.7622451782227,39.2647972106934,567,22025,"illinois","CALHOUN"
-90.8138122558594,39.3106346130371,567,22026,"illinois","CALHOUN"
-90.8940277099609,39.3679313659668,567,22027,"illinois","CALHOUN"
-90.9341354370117,39.4023056030273,567,22028,"illinois","CALHOUN"
-89.9199905395508,42.2040710449219,568,22030,"illinois","CARROLL"
-89.6850814819336,42.2040710449219,568,22031,"illinois","CARROLL"
-89.6850814819336,41.9347801208496,568,22032,"illinois","CARROLL"
-90.16064453125,41.9347801208496,568,22033,"illinois","CARROLL"
-90.1491775512695,41.9634284973145,568,22034,"illinois","CARROLL"
-90.1377182006836,42.0092658996582,568,22035,"illinois","CARROLL"
-90.1491775512695,42.0379104614258,568,22036,"illinois","CARROLL"
-90.16064453125,42.1009368896484,568,22037,"illinois","CARROLL"
-90.1778259277344,42.1353187561035,568,22038,"illinois","CARROLL"
-90.24658203125,42.175422668457,568,22039,"illinois","CARROLL"
-90.3267974853516,42.2040710449219,568,22040,"illinois","CARROLL"
-89.9199905395508,42.2040710449219,568,22041,"illinois","CARROLL"
-90.510139465332,39.9867248535156,569,22043,"illinois","CASS"
-90.4929504394531,39.9981803894043,569,22044,"illinois","CASS"
-90.4471206665039,40.0210990905762,569,22045,"illinois","CASS"
-90.429931640625,40.044017791748,569,22046,"illinois","CASS"
-90.4127349853516,40.0726699829102,569,22047,"illinois","CASS"
-90.3840942382812,40.0898551940918,569,22048,"illinois","CASS"
-90.3783645629883,40.1070442199707,569,22049,"illinois","CASS"
-90.3611755371094,40.1185073852539,569,22050,"illinois","CASS"
-90.3267974853516,40.1070442199707,569,22051,"illinois","CASS"
-90.3038787841797,40.0841255187988,569,22052,"illinois","CASS"
-90.2981491088867,40.061206817627,569,22053,"illinois","CASS"
-90.2866897583008,40.0497512817383,569,22054,"illinois","CASS"
-90.2637710571289,40.061206817627,569,22055,"illinois","CASS"
-90.2236633300781,40.0497512817383,569,22056,"illinois","CASS"
-90.1950149536133,40.0669364929199,569,22057,"illinois","CASS"
-90.1720962524414,40.061206817627,569,22058,"illinois","CASS"
-90.1319885253906,40.0726699829102,569,22059,"illinois","CASS"
-90.1090774536133,40.0783996582031,569,22060,"illinois","CASS"
-90.0746994018555,40.0898551940918,569,22061,"illinois","CASS"
-90.0345916748047,40.1013145446777,569,22062,"illinois","CASS"
-90.0231323242188,40.1013145446777,569,22063,"illinois","CASS"
-89.9887542724609,40.1242332458496,569,22064,"illinois","CASS"
