"year","county","area.mi","area.km","harv.tot"
2005,"ADAMS",855,1376.55,5012
2006,"ADAMS",855,1376.55,4926
2007,"ADAMS",855,1376.55,4581
2008,"ADAMS",855,1376.55,4511
2009,"ADAMS",855,1376.55,4615
2010,"ADAMS",855,1376.55,4327
2011,"ADAMS",855,1376.55,4363
2012,"ADAMS",855,1376.55,4607
2013,"ADAMS",855,1376.55,3482
2014,"ADAMS",855,1376.55,3500
2015,"ADAMS",855,1376.55,3762
2016,"ADAMS",855,1376.55,3758
2017,"ADAMS",855,1376.55,3661
2018,"ADAMS",855,1376.55,3947
2019,"ADAMS",855,1376.55,3875
2020,"ADAMS",855,1376.55,3953
2021,"ADAMS",855,1376.55,3572
2022,"ADAMS",855,1376.55,3763
2005,"ALEXANDER",236,379.96,751
2006,"ALEXANDER",236,379.96,849
2007,"ALEXANDER",236,379.96,784
2008,"ALEXANDER",236,379.96,828
2009,"ALEXANDER",236,379.96,896
2010,"ALEXANDER",236,379.96,780
2011,"ALEXANDER",236,379.96,795
2012,"ALEXANDER",236,379.96,708
2013,"ALEXANDER",236,379.96,795
2014,"ALEXANDER",236,379.96,649
2015,"ALEXANDER",236,379.96,801
2016,"ALEXANDER",236,379.96,628
2017,"ALEXANDER",236,379.96,732
2018,"ALEXANDER",236,379.96,729
2019,"ALEXANDER",236,379.96,733
2020,"ALEXANDER",236,379.96,692
2021,"ALEXANDER",236,379.96,577
2022,"ALEXANDER",236,379.96,659
2005,"BOND",380,611.8,1633
2006,"BOND",380,611.8,1641
2007,"BOND",380,611.8,1666
2008,"BOND",380,611.8,1482
2009,"BOND",380,611.8,1431
2010,"BOND",380,611.8,1294
2011,"BOND",380,611.8,1338
2012,"BOND",380,611.8,1287
2013,"BOND",380,611.8,1022
2014,"BOND",380,611.8,964
2015,"BOND",380,611.8,1053
2016,"BOND",380,611.8,949
2017,"BOND",380,611.8,1043
2018,"BOND",380,611.8,1160
2019,"BOND",380,611.8,1172
2020,"BOND",380,611.8,1201
2021,"BOND",380,611.8,1121
2022,"BOND",380,611.8,1281
2005,"BOONE",280,450.8,525
2006,"BOONE",280,450.8,435
2007,"BOONE",280,450.8,368
2008,"BOONE",280,450.8,329
2009,"BOONE",280,450.8,391
2010,"BOONE",280,450.8,297
2011,"BOONE",280,450.8,284
2012,"BOONE",280,450.8,289
2013,"BOONE",280,450.8,244
2014,"BOONE",280,450.8,297
2015,"BOONE",280,450.8,315
2016,"BOONE",280,450.8,279
2017,"BOONE",280,450.8,288
2018,"BOONE",280,450.8,297
2019,"BOONE",280,450.8,281
2020,"BOONE",280,450.8,362
2021,"BOONE",280,450.8,312
2022,"BOONE",280,450.8,323
2005,"BROWN",305,491.05,2950
2006,"BROWN",305,491.05,2910
2007,"BROWN",305,491.05,2915
2008,"BROWN",305,491.05,2851
2009,"BROWN",305,491.05,2867
2010,"BROWN",305,491.05,2661
2011,"BROWN",305,491.05,2644
2012,"BROWN",305,491.05,2889
2013,"BROWN",305,491.05,2074
2014,"BROWN",305,491.05,2074
2015,"BROWN",305,491.05,2260
2016,"BROWN",305,491.05,2136
2017,"BROWN",305,491.05,2196
2018,"BROWN",305,491.05,2324
2019,"BROWN",305,491.05,2118
2020,"BROWN",305,491.05,2180
2021,"BROWN",305,491.05,1977
2022,"BROWN",305,491.05,2195
2005,"BUREAU",869,1399.09,2756
2006,"BUREAU",869,1399.09,2479
2007,"BUREAU",869,1399.09,2873
2008,"BUREAU",869,1399.09,2782
2009,"BUREAU",869,1399.09,2749
2010,"BUREAU",869,1399.09,2624
2011,"BUREAU",869,1399.09,2356
2012,"BUREAU",869,1399.09,2501
2013,"BUREAU",869,1399.09,1889
2014,"BUREAU",869,1399.09,1738
2015,"BUREAU",869,1399.09,1824
2016,"BUREAU",869,1399.09,1729
2017,"BUREAU",869,1399.09,1732
2018,"BUREAU",869,1399.09,1864
2019,"BUREAU",869,1399.09,1758
2020,"BUREAU",869,1399.09,1909
2021,"BUREAU",869,1399.09,1665
2022,"BUREAU",869,1399.09,1799
2005,"CALHOUN",253,407.33,3042
2006,"CALHOUN",253,407.33,3255
2007,"CALHOUN",253,407.33,2938
2008,"CALHOUN",253,407.33,2781
2009,"CALHOUN",253,407.33,2969
2010,"CALHOUN",253,407.33,2474
2011,"CALHOUN",253,407.33,2460
2012,"CALHOUN",253,407.33,2191
2013,"CALHOUN",253,407.33,1808
2014,"CALHOUN",253,407.33,1538
2015,"CALHOUN",253,407.33,1783
2016,"CALHOUN",253,407.33,1527
2017,"CALHOUN",253,407.33,1585
2018,"CALHOUN",253,407.33,1710
2019,"CALHOUN",253,407.33,1838
2020,"CALHOUN",253,407.33,1849
2021,"CALHOUN",253,407.33,1514
2022,"CALHOUN",253,407.33,1574
2005,"CARROLL",445,716.45,1919
2006,"CARROLL",445,716.45,1879
2007,"CARROLL",445,716.45,1932
2008,"CARROLL",445,716.45,1919
2009,"CARROLL",445,716.45,1975
2010,"CARROLL",445,716.45,1995
2011,"CARROLL",445,716.45,1691
2012,"CARROLL",445,716.45,2047
2013,"CARROLL",445,716.45,1604
2014,"CARROLL",445,716.45,1474
2015,"CARROLL",445,716.45,1531
2016,"CARROLL",445,716.45,1446
2017,"CARROLL",445,716.45,1383
2018,"CARROLL",445,716.45,1375
2019,"CARROLL",445,716.45,1350
2020,"CARROLL",445,716.45,1304
2021,"CARROLL",445,716.45,1056
2022,"CARROLL",445,716.45,1160
2005,"CASS",375,603.75,1774
2006,"CASS",375,603.75,1744
2007,"CASS",375,603.75,1641
2008,"CASS",375,603.75,1453
2009,"CASS",375,603.75,1563
2010,"CASS",375,603.75,1412
2011,"CASS",375,603.75,1373
2012,"CASS",375,603.75,1537
2013,"CASS",375,603.75,1192
2014,"CASS",375,603.75,1214
2015,"CASS",375,603.75,1407
2016,"CASS",375,603.75,1262
2017,"CASS",375,603.75,1303
2018,"CASS",375,603.75,1395
2019,"CASS",375,603.75,1317
2020,"CASS",375,603.75,1445
2021,"CASS",375,603.75,1291
2022,"CASS",375,603.75,1406
2005,"CHAMPAIGN",996,1603.56,816
2006,"CHAMPAIGN",996,1603.56,804
2007,"CHAMPAIGN",996,1603.56,847
2008,"CHAMPAIGN",996,1603.56,755
2009,"CHAMPAIGN",996,1603.56,753
2010,"CHAMPAIGN",996,1603.56,786
2011,"CHAMPAIGN",996,1603.56,786
2012,"CHAMPAIGN",996,1603.56,769
2013,"CHAMPAIGN",996,1603.56,600
2014,"CHAMPAIGN",996,1603.56,559
2015,"CHAMPAIGN",996,1603.56,546
2016,"CHAMPAIGN",996,1603.56,554
2017,"CHAMPAIGN",996,1603.56,598
2018,"CHAMPAIGN",996,1603.56,601
2019,"CHAMPAIGN",996,1603.56,637
2020,"CHAMPAIGN",996,1603.56,690
2021,"CHAMPAIGN",996,1603.56,595
2022,"CHAMPAIGN",996,1603.56,623
2005,"CHRISTIAN",709,1141.49,1156
2006,"CHRISTIAN",709,1141.49,1208
2007,"CHRISTIAN",709,1141.49,1289
2008,"CHRISTIAN",709,1141.49,1213
2009,"CHRISTIAN",709,1141.49,1271
2010,"CHRISTIAN",709,1141.49,1201
2011,"CHRISTIAN",709,1141.49,1337
2012,"CHRISTIAN",709,1141.49,1178
2013,"CHRISTIAN",709,1141.49,1053
2014,"CHRISTIAN",709,1141.49,1037
2015,"CHRISTIAN",709,1141.49,1112
2016,"CHRISTIAN",709,1141.49,1102
2017,"CHRISTIAN",709,1141.49,1073
2018,"CHRISTIAN",709,1141.49,1174
2019,"CHRISTIAN",709,1141.49,1166
2020,"CHRISTIAN",709,1141.49,1246
2021,"CHRISTIAN",709,1141.49,1130
2022,"CHRISTIAN",709,1141.49,1147
2005,"CLARK",501,806.61,2446
2006,"CLARK",501,806.61,2373
2007,"CLARK",501,806.61,2548
2008,"CLARK",501,806.61,2329
2009,"CLARK",501,806.61,2423
2010,"CLARK",501,806.61,2484
2011,"CLARK",501,806.61,2504
2012,"CLARK",501,806.61,2591
2013,"CLARK",501,806.61,2066
2014,"CLARK",501,806.61,1854
2015,"CLARK",501,806.61,2026
2016,"CLARK",501,806.61,2005
2017,"CLARK",501,806.61,2056
2018,"CLARK",501,806.61,2144
2019,"CLARK",501,806.61,1982
2020,"CLARK",501,806.61,2124
2021,"CLARK",501,806.61,1908
2022,"CLARK",501,806.61,2078
2005,"CLAY",468,753.48,2491
2006,"CLAY",468,753.48,2488
2007,"CLAY",468,753.48,2560
2008,"CLAY",468,753.48,2277
2009,"CLAY",468,753.48,2246
2010,"CLAY",468,753.48,2248
2011,"CLAY",468,753.48,2319
2012,"CLAY",468,753.48,2017
2013,"CLAY",468,753.48,1544
2014,"CLAY",468,753.48,1698
2015,"CLAY",468,753.48,1783
2016,"CLAY",468,753.48,1757
2017,"CLAY",468,753.48,1796
2018,"CLAY",468,753.48,1950
2019,"CLAY",468,753.48,1930
2020,"CLAY",468,753.48,2179
2021,"CLAY",468,753.48,1979
2022,"CLAY",468,753.48,2205
2005,"CLINTON",474,763.14,1702
2006,"CLINTON",474,763.14,1640
2007,"CLINTON",474,763.14,1577
2008,"CLINTON",474,763.14,1395
2009,"CLINTON",474,763.14,1347
2010,"CLINTON",474,763.14,1305
2011,"CLINTON",474,763.14,1347
2012,"CLINTON",474,763.14,1204
2013,"CLINTON",474,763.14,995
2014,"CLINTON",474,763.14,996
2015,"CLINTON",474,763.14,988
2016,"CLINTON",474,763.14,963
2017,"CLINTON",474,763.14,1119
2018,"CLINTON",474,763.14,1249
2019,"CLINTON",474,763.14,1251
2020,"CLINTON",474,763.14,1408
2021,"CLINTON",474,763.14,1268
2022,"CLINTON",474,763.14,1544
2005,"COLES",508,817.88,1374
2006,"COLES",508,817.88,1356
2007,"COLES",508,817.88,1551
2008,"COLES",508,817.88,1459
2009,"COLES",508,817.88,1457
2010,"COLES",508,817.88,1552
2011,"COLES",508,817.88,1610
2012,"COLES",508,817.88,1405
2013,"COLES",508,817.88,1010
2014,"COLES",508,817.88,997
2015,"COLES",508,817.88,1133
2016,"COLES",508,817.88,1113
2017,"COLES",508,817.88,1268
2018,"COLES",508,817.88,1376
2019,"COLES",508,817.88,1432
2020,"COLES",508,817.88,1545
2021,"COLES",508,817.88,1452
2022,"COLES",508,817.88,1541
2005,"COOK",944,1519.84,167
2006,"COOK",944,1519.84,191
2007,"COOK",944,1519.84,234
2008,"COOK",944,1519.84,201
2009,"COOK",944,1519.84,223
2010,"COOK",944,1519.84,158
2011,"COOK",944,1519.84,167
2012,"COOK",944,1519.84,158
2013,"COOK",944,1519.84,146
2014,"COOK",944,1519.84,119
2015,"COOK",944,1519.84,131
2016,"COOK",944,1519.84,108
2017,"COOK",944,1519.84,121
2018,"COOK",944,1519.84,143
2019,"COOK",944,1519.84,145
2020,"COOK",944,1519.84,191
2021,"COOK",944,1519.84,133
2022,"COOK",944,1519.84,156
2005,"CRAWFORD",443,713.23,2317
2006,"CRAWFORD",443,713.23,2166
2007,"CRAWFORD",443,713.23,2264
2008,"CRAWFORD",443,713.23,2221
2009,"CRAWFORD",443,713.23,2252
2010,"CRAWFORD",443,713.23,2299
2011,"CRAWFORD",443,713.23,2237
2012,"CRAWFORD",443,713.23,2220
2013,"CRAWFORD",443,713.23,1766
2014,"CRAWFORD",443,713.23,1848
2015,"CRAWFORD",443,713.23,1981
2016,"CRAWFORD",443,713.23,1879
2017,"CRAWFORD",443,713.23,2078
2018,"CRAWFORD",443,713.23,2155
2019,"CRAWFORD",443,713.23,1999
2020,"CRAWFORD",443,713.23,2178
2021,"CRAWFORD",443,713.23,1954
2022,"CRAWFORD",443,713.23,1956
2005,"CUMBERLAND",345,555.45,1298
2006,"CUMBERLAND",345,555.45,1373
2007,"CUMBERLAND",345,555.45,1358
2008,"CUMBERLAND",345,555.45,1416
2009,"CUMBERLAND",345,555.45,1442
2010,"CUMBERLAND",345,555.45,1407
2011,"CUMBERLAND",345,555.45,1557
2012,"CUMBERLAND",345,555.45,1521
2013,"CUMBERLAND",345,555.45,1006
2014,"CUMBERLAND",345,555.45,958
2015,"CUMBERLAND",345,555.45,1149
2016,"CUMBERLAND",345,555.45,1127
2017,"CUMBERLAND",345,555.45,1264
2018,"CUMBERLAND",345,555.45,1308
2019,"CUMBERLAND",345,555.45,1430
2020,"CUMBERLAND",345,555.45,1527
2021,"CUMBERLAND",345,555.45,1369
2022,"CUMBERLAND",345,555.45,1422
2005,"DEKALB",631,1015.91,659
2006,"DEKALB",631,1015.91,641
2007,"DEKALB",631,1015.91,614
2008,"DEKALB",631,1015.91,560
2009,"DEKALB",631,1015.91,544
2010,"DEKALB",631,1015.91,542
2011,"DEKALB",631,1015.91,437
2012,"DEKALB",631,1015.91,430
2013,"DEKALB",631,1015.91,356
2014,"DEKALB",631,1015.91,348
2015,"DEKALB",631,1015.91,316
2016,"DEKALB",631,1015.91,353
2017,"DEKALB",631,1015.91,283
2018,"DEKALB",631,1015.91,306
2019,"DEKALB",631,1015.91,321
2020,"DEKALB",631,1015.91,365
2021,"DEKALB",631,1015.91,363
2022,"DEKALB",631,1015.91,333
2005,"DEWITT",397,639.17,1091
2006,"DEWITT",397,639.17,1044
2007,"DEWITT",397,639.17,1056
2008,"DEWITT",397,639.17,1059
2009,"DEWITT",397,639.17,1025
2010,"DEWITT",397,639.17,1074
2011,"DEWITT",397,639.17,1108
2012,"DEWITT",397,639.17,1030
2013,"DEWITT",397,639.17,905
2014,"DEWITT",397,639.17,841
2015,"DEWITT",397,639.17,910
2016,"DEWITT",397,639.17,816
2017,"DEWITT",397,639.17,857
2018,"DEWITT",397,639.17,968
2019,"DEWITT",397,639.17,926
2020,"DEWITT",397,639.17,1045
2021,"DEWITT",397,639.17,904
2022,"DEWITT",397,639.17,949
2005,"DOUGLAS",416,669.76,501
2006,"DOUGLAS",416,669.76,459
2007,"DOUGLAS",416,669.76,469
2008,"DOUGLAS",416,669.76,355
2009,"DOUGLAS",416,669.76,366
2010,"DOUGLAS",416,669.76,373
2011,"DOUGLAS",416,669.76,430
2012,"DOUGLAS",416,669.76,380
2013,"DOUGLAS",416,669.76,297
2014,"DOUGLAS",416,669.76,301
2015,"DOUGLAS",416,669.76,316
2016,"DOUGLAS",416,669.76,284
2017,"DOUGLAS",416,669.76,331
2018,"DOUGLAS",416,669.76,344
2019,"DOUGLAS",416,669.76,335
2020,"DOUGLAS",416,669.76,405
2021,"DOUGLAS",416,669.76,371
2022,"DOUGLAS",416,669.76,405
2005,"DUPAGE",327,526.47,72
2006,"DUPAGE",327,526.47,64
2007,"DUPAGE",327,526.47,72
2008,"DUPAGE",327,526.47,78
2009,"DUPAGE",327,526.47,72
2010,"DUPAGE",327,526.47,69
2011,"DUPAGE",327,526.47,61
2012,"DUPAGE",327,526.47,35
2013,"DUPAGE",327,526.47,42
2014,"DUPAGE",327,526.47,36
2015,"DUPAGE",327,526.47,37
2016,"DUPAGE",327,526.47,35
2017,"DUPAGE",327,526.47,37
2018,"DUPAGE",327,526.47,29
2019,"DUPAGE",327,526.47,42
2020,"DUPAGE",327,526.47,42
2021,"DUPAGE",327,526.47,37
2022,"DUPAGE",327,526.47,34
2005,"EDGAR",623,1003.03,1194
2006,"EDGAR",623,1003.03,1271
2007,"EDGAR",623,1003.03,1372
2008,"EDGAR",623,1003.03,1316
2009,"EDGAR",623,1003.03,1384
2010,"EDGAR",623,1003.03,1430
2011,"EDGAR",623,1003.03,1408
2012,"EDGAR",623,1003.03,1474
2013,"EDGAR",623,1003.03,1272
2014,"EDGAR",623,1003.03,1055
2015,"EDGAR",623,1003.03,1154
2016,"EDGAR",623,1003.03,1069
2017,"EDGAR",623,1003.03,1066
2018,"EDGAR",623,1003.03,1057
2019,"EDGAR",623,1003.03,1068
2020,"EDGAR",623,1003.03,1174
2021,"EDGAR",623,1003.03,1068
2022,"EDGAR",623,1003.03,1164
2005,"EDWARDS",222,357.42,914
2006,"EDWARDS",222,357.42,879
2007,"EDWARDS",222,357.42,859
2008,"EDWARDS",222,357.42,817
2009,"EDWARDS",222,357.42,842
2010,"EDWARDS",222,357.42,846
2011,"EDWARDS",222,357.42,763
2012,"EDWARDS",222,357.42,739
2013,"EDWARDS",222,357.42,690
2014,"EDWARDS",222,357.42,753
2015,"EDWARDS",222,357.42,785
2016,"EDWARDS",222,357.42,656
2017,"EDWARDS",222,357.42,672
2018,"EDWARDS",222,357.42,686
2019,"EDWARDS",222,357.42,714
2020,"EDWARDS",222,357.42,739
2021,"EDWARDS",222,357.42,696
2022,"EDWARDS",222,357.42,785
2005,"EFFINGHAM",478,769.58,1720
2006,"EFFINGHAM",478,769.58,1790
2007,"EFFINGHAM",478,769.58,1707
2008,"EFFINGHAM",478,769.58,1655
2009,"EFFINGHAM",478,769.58,1679
2010,"EFFINGHAM",478,769.58,1574
2011,"EFFINGHAM",478,769.58,1691
2012,"EFFINGHAM",478,769.58,1522
2013,"EFFINGHAM",478,769.58,1168
2014,"EFFINGHAM",478,769.58,1128
2015,"EFFINGHAM",478,769.58,1327
2016,"EFFINGHAM",478,769.58,1294
2017,"EFFINGHAM",478,769.58,1350
2018,"EFFINGHAM",478,769.58,1541
2019,"EFFINGHAM",478,769.58,1685
2020,"EFFINGHAM",478,769.58,1831
2021,"EFFINGHAM",478,769.58,1813
2022,"EFFINGHAM",478,769.58,1838
2005,"FAYETTE",716,1152.76,3511
2006,"FAYETTE",716,1152.76,3439
2007,"FAYETTE",716,1152.76,3536
2008,"FAYETTE",716,1152.76,3340
2009,"FAYETTE",716,1152.76,3176
2010,"FAYETTE",716,1152.76,2882
2011,"FAYETTE",716,1152.76,3181
2012,"FAYETTE",716,1152.76,2805
2013,"FAYETTE",716,1152.76,2312
2014,"FAYETTE",716,1152.76,2177
2015,"FAYETTE",716,1152.76,2389
2016,"FAYETTE",716,1152.76,2261
2017,"FAYETTE",716,1152.76,2377
2018,"FAYETTE",716,1152.76,2558
2019,"FAYETTE",716,1152.76,2705
2020,"FAYETTE",716,1152.76,2930
2021,"FAYETTE",716,1152.76,2738
2022,"FAYETTE",716,1152.76,2998
2005,"FORD",485,780.85,260
2006,"FORD",485,780.85,215
2007,"FORD",485,780.85,212
2008,"FORD",485,780.85,244
2009,"FORD",485,780.85,199
2010,"FORD",485,780.85,204
2011,"FORD",485,780.85,222
2012,"FORD",485,780.85,211
2013,"FORD",485,780.85,186
2014,"FORD",485,780.85,171
2015,"FORD",485,780.85,192
2016,"FORD",485,780.85,176
2017,"FORD",485,780.85,171
2018,"FORD",485,780.85,172
2019,"FORD",485,780.85,175
2020,"FORD",485,780.85,193
2021,"FORD",485,780.85,165
2022,"FORD",485,780.85,204
2005,"FRANKLIN",408,656.88,2641
2006,"FRANKLIN",408,656.88,2498
2007,"FRANKLIN",408,656.88,2337
2008,"FRANKLIN",408,656.88,2166
2009,"FRANKLIN",408,656.88,2087
2010,"FRANKLIN",408,656.88,2109
2011,"FRANKLIN",408,656.88,2186
2012,"FRANKLIN",408,656.88,2256
